,64,32,16,8,4,2,1,0.5,0.25,0.125,0.0625,0
fRS1035,0.29519999,0.200900003,0.182699993,0.178299993,0.202700004,0.205599993,0.243499994,0.295899987,0.449600011,1.23150003,1.317000031,1.305400014
fRS1042,0.269499987,0.192699999,0.190400004,0.201100007,0.192200005,0.200399995,0.230299994,0.326499999,0.532700002,1.256000042,1.277899981,1.29429996
fRS1466,0.150099993,0.126100004,0.120700002,0.116999999,0.128199995,0.125100002,0.138799995,0.183899999,0.485199988,1.262799978,1.293499947,1.297099948
fRS1481,0.731999993,0.4815,0.476000011,0.551999986,0.572000027,0.658699989,0.604499996,0.674600005,0.77670002,1.285099983,1.293499947,1.294800043
fRS1482,0.73150003,0.586499989,0.548099995,0.575900018,0.51789999,0.537899971,0.709699988,0.630699992,0.764599979,1.282600045,1.285599947,1.285400033
fRS1145,0.168200001,0.129700005,0.124700002,0.120999999,0.123000003,0.123000003,0.132699996,0.166600004,0.29460001,1.211099982,1.294499993,1.288300037
fRS1044,0.158999994,0.124499999,0.116999999,0.115000002,0.122500002,0.120899998,0.131899998,0.157199994,0.282499999,1.219799995,1.291100025,1.315600038
fRS1,0.177499995,0.165999994,0.141100004,0.155399993,0.150000006,0.174600005,0.163599998,0.225700006,0.372099996,1.289399981,1.291300058,1.321499944
fRS1050,0.404199988,0.324499995,0.237200007,0.233899996,0.32069999,0.298299998,0.355800003,0.342500001,0.619700015,1.263700008,1.289299965,1.313899994
fRS1051,0.4366,0.283600003,0.1866,0.234200001,0.3116,0.433699995,0.49090001,0.513700008,0.58099997,1.268599987,1.266499996,1.292899966
fRS1052,0.418900013,0.330900013,0.246399999,0.296600014,0.314799994,0.451700002,0.530200005,0.592499971,0.664399981,1.279500008,1.284800053,1.292299986
fRS1053,0.459300011,0.342299998,0.388999999,0.326099992,0.308099985,0.449999988,0.573599994,0.672500014,0.863499999,1.268100023,1.271999955,1.280400038
