,64,32,16,8,4,2,1,0.5,0.25,0.125,0.0625,0
fRS1,0.120499998,0.129600003,0.1228,0.128299996,0.1175,0.127200007,0.138899997,0.209900007,0.167699993,0.675599992,0.843500018,0.829100013
fRS1354,0.103699997,0.107299998,0.098899998,0.101499997,0.114100002,0.119400002,0.124300003,0.177399993,0.1646,0.828599989,1.117799997,1.089300036
fRS1355,0.1061,0.124899998,0.1171,0.112599999,0.126100004,0.126000002,0.151199996,0.177200004,0.271200001,0.694100022,1.081599951,1.030599952
fRS1356,0.109999999,0.1162,0.111100003,0.113300003,0.115800001,0.123300001,0.123400003,0.207900003,0.230499998,0.830799997,1.101099968,1.08130002
fRS1357,0.105499998,0.114799999,0.120800003,0.112800002,0.108999997,0.130899996,0.141000003,0.173299998,0.182699993,0.99059999,1.061300039,1.044199944
fRS1050,0.171499997,0.145899996,0.159999996,0.159500003,0.1831,0.326700002,0.210700005,0.329299986,0.359200001,0.99879998,1.064900041,1.011500001
fRS1359,0.104099996,0.1087,0.103500001,0.110600002,0.109499998,0.112599999,0.115999997,0.141200006,0.266200006,1.256700039,1.299299955,1.297999978
fRS1145,0.1017,0.102200001,0.103500001,0.114799999,0.107500002,0.103200004,0.123899996,0.1479,0.464100003,1.264199972,1.296399951,1.285099983
fRS1053,0.326200008,0.343199998,0.281699985,0.357300013,0.376599997,0.375400007,0.479400009,0.644200027,0.885599971,1.29279995,1.261100054,1.292899966
fRS1051,0.197500005,0.209900007,0.231000006,0.240500003,0.292100012,0.186299995,0.397100002,0.479600012,0.720899999,1.273200035,1.297799945,1.281100035
fRS1035,0.154400006,0.150199994,0.158600003,0.177000001,0.177399993,0.169100001,0.218199998,0.243799999,0.432900012,1.198500037,1.219599962,1.264899969
fRS1037,0.154899999,0.139899999,0.1391,0.160999998,0.159199998,0.156000003,0.151199996,0.268999994,0.305299997,1.158400059,1.206400037,1.221500039
fRS1038,0.1083,0.110299997,0.110299997,0.116300002,0.115800001,0.123899996,0.122100003,0.1505,0.236499995,1.233700037,1.232800007,1.26789999
fRS1040,0.159299999,0.182899997,0.178900003,0.174199998,0.179299995,0.193399996,0.199599996,0.248799995,0.461299986,1.238399982,1.224300027,1.277500033
fRS1042,0.164900005,0.167500004,0.170000002,0.176699996,0.168699995,0.163200006,0.179100007,0.216299996,0.31099999,1.278300047,1.213500023,1.248900056
fRS1052,0.388000011,0.387499988,0.388399988,0.48210001,0.417299986,0.425399989,0.2958,0.427899987,0.577499986,1.238700032,1.188899994,1.246000051
