Condition,Total significant,Enriched (total),Depleted (total),FLZ-unique enriched,FLZ-unique depleted,Shared enriched (YPD),Shared depleted (YPD),CI lower,CI upper
Low FLZ,68,27,41,27,40,0,1,-1.5968,0.9892
High FLZ,129,76,53,76,51,0,2,-1.421,0.981
