,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125,0.000976563,0
fRS1035,0.1972,0.204400003,0.204699993,0.197500005,0.195500001,0.202199996,0.226699993,0.788399994,1.165799975,1.223799944,1.272099972,1.260100007
fRS1042,0.221799999,0.200800002,0.216000006,0.217800006,0.217099994,0.242599994,0.260500014,0.576300025,1.087900043,1.187999964,1.227699995,1.237100005
fRS1466,0.127599999,0.122400001,0.117899999,0.125599995,0.118900001,0.125200003,0.131200001,0.184900001,0.809000015,1.196200013,1.256100059,1.230000019
fRS1481,0.54519999,0.536800027,0.53490001,0.539399981,0.512399971,0.547100008,0.616400003,1.007300019,1.006899953,1.177000046,1.23119998,1.238899946
fRS1482,0.559599996,0.523800015,0.416799992,0.498400003,0.5528,0.601400018,0.709999979,1.006299973,1.05309999,1.236700058,1.245700002,1.234200001
fRS1145,0.126300007,0.115699999,0.112300001,0.128399998,0.1162,0.129899994,0.1285,0.167099997,1.018700004,1.104500055,1.246600032,1.273599982
fRS1044,0.131699994,0.133100003,0.128900006,0.127200007,0.133599997,0.132200003,0.128399998,0.181500003,0.66079998,1.173499942,1.208899975,1.240300059
fRS1,0.158999994,0.142499998,0.152799994,0.136000007,0.152700007,0.161300004,0.171299994,0.312900007,1.166399956,1.248000026,1.291700006,1.19630003
fRS1050,0.215599999,0.221499994,0.144700006,0.180299997,0.203700006,0.1928,0.271800011,0.810699999,1.187999964,1.153699994,1.248100042,1.220299959
fRS1051,0.241600007,0.131200001,0.118199997,0.148499995,0.163900003,0.190699995,0.159400001,0.42750001,1.163800001,1.06400001,1.189100027,1.051800013
fRS1052,0.286300004,0.123300001,0.113300003,0.177900001,0.177000001,0.242300004,0.262199998,0.487800002,1.248200059,1.286999941,1.223500013,1.086300015
fRS1053,0.311100006,0.194800004,0.173099995,0.136800006,0.31189999,0.285600007,0.287699997,1.040699959,1.243199944,1.291399956,1.252400041,1.096099973
