,16,8,4,2,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,0
fRS1576,0.135800004,0.117399998,0.127599999,0.142499998,0.142199993,0.183200002,0.207399994,0.727199972,1.211899996,1.236099958,1.266100049,1.276100039
fRS1581,0.080700003,0.073600002,0.073200002,0.075199999,0.075000003,0.076300003,0.073200002,0.077500001,0.104599997,0.779900014,1.312600017,1.30309999
fRS1577,0.131899998,0.145300001,0.135299996,0.164399996,0.164700001,0.244599998,0.477200001,1.235100031,1.313300014,1.264199972,1.238100052,1.256299973
fRS1582,0.075199999,0.074199997,0.075199999,0.077600002,0.071500003,0.076300003,0.073700003,0.075800002,0.095700003,1.158800006,1.286800027,1.314200044
fRS1579,0.101800002,0.102899998,0.096600004,0.098700002,0.106200002,0.119400002,0.252900004,1.256299973,1.273900032,1.248700023,1.258900046,1.350299954
fRS1584,0.065800004,0.064800002,0.065800004,0.066299997,0.068999998,0.068999998,0.068999998,0.073299997,0.071800001,0.888300002,1.243600011,1.245399952
fRS1578,0.4903,0.485100001,0.445899993,0.597899973,0.567600012,0.588999987,0.58859998,1.257200003,1.212800026,1.252699971,1.287099957,1.267500043
fRS1583,0.117700003,0.109099999,0.100100003,0.100900002,0.099699996,0.103,0.094300002,0.115400001,0.182899997,1.308699965,1.292000055,1.286999941
fRS1580,0.100199997,0.093999997,0.090099998,0.093900003,0.107900001,0.134900004,0.390399992,1.278300047,1.278900027,1.238600016,1.256500006,1.273399949
fRS1585,0.067299999,0.068499997,0.069499999,0.068700001,0.068400003,0.072499998,0.072300002,0.072499998,0.108999997,1.296300054,1.281299949,1.299499989
fRS1482,0.516099989,0.452100009,0.452899992,0.489399999,0.563600004,0.626900017,0.78490001,1.261800051,1.234400034,1.232800007,1.228399992,1.312100053
fRS1044,0.102300003,0.0973,0.095700003,0.096799999,0.103500001,0.1417,0.462300003,1.233500004,1.289299965,1.286999941,1.243600011,1.301599979
